M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Week,Season,Season_Label,Total_Sales
14.0,11.67,21.3,185.95,41.0,0.0,32.0,7.0,2014,1,1,Winter,3,312.91999999999996
29.33,12.68,37.9,190.7,88.0,5.0,21.0,7.2,2014,1,2,Winter,3,391.81
30.67,26.34,45.9,218.4,80.0,8.0,29.0,12.0,2014,1,3,Winter,3,450.31
34.0,32.37,31.5,179.6,80.0,8.0,23.0,10.0,2014,1,4,Winter,3,398.47
31.02,23.35,20.7,159.88,84.0,12.0,29.0,12.0,2014,2,5,Winter,3,371.95
22.65,29.72,53.3,226.8,98.0,7.0,31.0,6.0,2014,2,6,Winter,3,474.47
33.33,30.69,47.3,320.7,89.0,14.0,18.0,16.2,2014,2,7,Winter,3,569.22
39.01,34.25,44.2,232.7,99.0,5.0,35.0,7.0,2014,2,8,Winter,3,496.15999999999997
36.68,28.75,40.355,222.5,52.0,2.0,16.0,10.1,2014,3,9,Summer,2,408.385
25.02,21.11,31.8,202.375,48.0,4.0,16.0,9.2,2014,3,10,Summer,2,357.505
32.35,23.77,36.2,164.8,90.0,5.0,36.0,19.0,2014,3,11,Summer,2,407.12
39.36,23.72,26.1,202.8,36.0,4.0,27.0,23.6,2014,3,12,Summer,2,382.58000000000004
25.69,17.33,36.2,136.6,42.0,6.0,29.0,24.5,2014,3,13,Summer,2,317.32
19.68,22.05,36.4,153.7,31.0,7.0,27.0,20.0,2014,4,14,Summer,2,316.83
36.03,20.38,21.2,141.0,46.0,4.0,22.0,20.3,2014,4,15,Summer,2,310.91
27.36,19.38,35.15,134.2,59.0,1.0,24.0,20.0,2014,4,16,Summer,2,320.09
26.36,20.215,22.0,182.5,54.0,4.0,16.0,13.0,2014,4,17,Summer,2,338.075
22.02,27.16,23.9,176.6,49.0,6.0,24.0,13.9,2014,5,18,Summer,2,342.58
24.67,32.485,29.6,151.6,69.0,11.0,15.0,36.0,2014,5,19,Summer,2,369.355
22.38,26.4,35.2,154.0,56.0,2.0,42.0,18.5,2014,5,20,Summer,2,356.48
25.02,22.278,33.7,115.7,56.0,5.0,20.0,36.6,2014,5,21,Summer,2,314.298
17.71,22.08,25.1,143.38,69.0,3.0,19.0,28.1,2014,6,22,Rainy,1,327.37
23.34,23.06,33.9,154.425,64.0,8.0,19.0,27.5,2014,6,23,Rainy,1,353.225
29.03,17.4,23.6,95.3,87.0,8.0,20.0,36.8,2014,6,24,Rainy,1,317.13
31.68,20.73,26.1,106.7,66.0,5.0,11.0,24.0,2014,6,25,Rainy,1,291.21
21.02,27.5,37.3,156.8,96.0,1.0,6.0,18.0,2014,6,26,Rainy,1,363.62
27.35,24.74,30.0,135.8,64.0,3.0,8.0,10.0,2014,7,27,Rainy,1,302.89
26.01,22.38,34.7,122.8,83.0,7.0,27.0,16.2,2014,7,28,Rainy,1,339.09
33.67,20.76,20.5,96.0,84.0,6.0,12.0,14.4,2014,7,29,Rainy,1,287.33
28.01,28.77,33.1,116.2,77.0,2.0,8.0,16.0,2014,7,30,Rainy,1,309.08
20.02,7.71,23.2,95.1,80.0,9.0,11.0,16.5,2014,8,31,Rainy,1,262.53
28.36,19.74,28.4,123.6,83.0,8.0,3.0,16.9,2014,8,32,Rainy,1,311.0
26.02,19.53,34.7,103.4,99.0,5.0,3.0,23.6,2014,8,33,Rainy,1,314.25
36.36,25.225,20.5,111.2,92.0,7.0,14.0,11.3,2014,8,34,Rainy,1,317.58500000000004
22.05,31.275,29.0,160.15,112.0,3.0,12.0,15.0,2014,8,35,Rainy,1,384.475
29.7,29.369,23.6,113.72,109.0,5.0,9.0,18.6,2014,9,36,Rainy,1,337.98900000000003
18.7,22.41,22.4,216.35,104.0,0.0,28.0,10.2,2014,9,37,Rainy,1,422.06
18.02,22.915,28.7,227.1,69.0,3.0,44.0,8.0,2014,9,38,Rainy,1,420.735
25.36,25.38,31.1,239.55,95.0,4.0,2.0,16.0,2014,9,39,Rainy,1,438.39
32.35,26.456,30.6,272.04,73.0,3.0,81.0,14.0,2014,10,40,Autumn,0,532.446
23.7,23.085,33.1,296.975,103.0,7.0,21.0,10.5,2014,10,41,Autumn,0,518.36
23.115,30.6103125,28.3375,223.621875,96.0625,4.625,28.0,13.1875,2014,10,42,Autumn,0,447.5596875
19.69,25.14,25.2,213.6,95.0,3.0,30.0,10.0,2014,10,43,Autumn,0,421.63
25.67,14.82,34.1,203.8,112.5,4.0,39.0,7.0,2014,11,44,Autumn,0,440.89
40.67,31.05,29.8,177.9,152.0,5.0,25.0,6.2,2014,11,45,Autumn,0,467.62
31.67,24.34,31.3,177.1,110.0,4.0,22.0,10.2,2014,11,46,Autumn,0,410.60999999999996
28.35,25.04,37.5,161.5,105.5,3.0,38.0,8.7,2014,11,47,Autumn,0,407.59
31.06,18.09,39.6,161.5,96.0,7.0,20.0,18.1,2014,11,48,Autumn,0,391.35
28.69,30.281,18.3,175.7,114.0,4.0,40.0,9.4,2014,12,49,Winter,3,420.371
25.02,22.02,30.4,221.58,109.0,7.0,21.0,3.0,2014,12,50,Winter,3,439.02
25.01,20.69,24.34,203.6,78.0,6.0,31.0,6.0,2014,12,51,Winter,3,394.64
36.18,32.79,27.784,282.7,154.0,4.0,54.0,12.0,2014,12,52,Winter,3,603.454
36.68,34.54,24.7,300.22,65.0,7.0,25.25,10.0,2015,1,1,Winter,3,503.39000000000004
19.34,37.311,32.9,234.4,98.0,7.0,39.0,10.0,2015,1,2,Winter,3,477.951
39.35,30.35,38.8,231.45,115.0,4.0,32.0,9.0,2015,1,3,Winter,3,499.95
29.69,14.538,32.2,246.55,128.0,3.0,58.0,8.0,2015,1,4,Winter,3,519.9780000000001
32.19,36.58,29.7,199.3,101.0,8.0,40.0,9.0,2015,2,5,Winter,3,455.77
20.34,31.329,31.6,195.25,74.0,1.0,36.0,11.0,2015,2,6,Winter,3,400.519
35.01,29.646,44.2,222.82,77.0,4.0,65.0,13.0,2015,2,7,Winter,3,490.676
21.67,32.782,20.63,283.812,34.0,2.0,69.0,14.0,2015,2,8,Winter,3,477.894
43.35,30.526,31.1,241.67,54.0,5.0,38.0,12.0,2015,3,9,Summer,2,455.64599999999996
41.68,25.777,23.7,245.35,39.0,1.0,17.0,10.0,2015,3,10,Summer,2,403.507
27.02,29.867,33.0,267.6,53.0,2.0,35.0,13.0,2015,3,11,Summer,2,460.487
42.0,27.35,24.3,254.4,55.0,2.0,58.0,6.0,2015,3,12,Summer,2,469.05
25.01,31.672,28.9,232.4,49.0,4.0,58.0,17.0,2015,3,13,Summer,2,445.98199999999997
35.01,23.807,42.1,227.87,42.0,3.0,15.0,21.0,2015,4,14,Summer,2,409.78700000000003
